taxonomy	host	function	symbiont_phylum	symbiont_order	symbiont_genus	host_order	host_family	description	evidence	genome_id	journal	evidence_level
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Staphylococcus; s__Staphylococcus pavanii	Sesamia inferens	pesticide metabolization	Bacillota	Bacillales	Staphylococcus	Lepidoptera	Noctuidae	Staphylococcus pavanii strain NRPSBSP-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Pseudomonadota; c__*; o__Lysobacterales; f__*; g__Stenotrophomonas; s__*	Sesamia inferens	pesticide metabolization	Pseudomonadota	Lysobacterales	Stenotrophomonas	Lepidoptera	Noctuidae	Stenotrophomonas sp. strain NRPSBSP-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Pseudomonadota; c__*; o__Lysobacterales; f__*; g__Stenotrophomonas; s__*	Sesamia inferens	pesticide metabolization	Pseudomonadota	Lysobacterales	Stenotrophomonas	Lepidoptera	Noctuidae	Stenotrophomonas sp. strain NRPSBSM-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	10.1016/j.aspen.2024.102229		JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2
d__Bacteria; p__Pseudomonadota; c__*; o__Rickettsiales; f__*; g__Wolbachia; s__Wolbachia wCle	Cimex lectularius	B vitamin supplementation	Pseudomonadota	Rickettsiales	Wolbachia	Hemiptera	Cimicidae	Wolbachia wCle provides the nutritional obligatory service of supplying B vitamins to its host, Cimex lectularius.	10.3389/fmicb.2024.1386458		FRONTIERS IN MICROBIOLOGY	2
d__Fungi; p__Ascomycota; c__*; o__Eurotiales; f__*; g__Penicillium; s__Penicillium herquei	Euops chinensis	other	Ascomycota	Eurotiales	Penicillium	Coleoptera	Attelabidae	Penicillium herquei has the potential to synthesize or concentrate ergosterol, amino acids, and B vitamins, thereby benefiting the larvae of its host, Euops chinensis.	10.1128/aem.01537-23		APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2
d__Fungi; p__Ascomycota; c__*; o__Hypocreales; f__*; g__Fusarium; s__Fusarium solani	Anoplophora glabripennis	growth regulation	Ascomycota	Hypocreales	Fusarium	Coleoptera	Cerambycidae	Fusarium solani, when consumed, promotes the growth (higher weight and head capsule width) of Anoplophora glabripennis larvae and elevates gut lignocellulose activities.	10.1007/s00248-023-02332-5		MICROBIAL ECOLOGY	2
d__Fungi; p__Ascomycota; c__*; o__Hypocreales; f__*; g__Fusarium; s__Fusarium solani	Anoplophora glabripennis	cellulose hydrolysis	Ascomycota	Hypocreales	Fusarium	Coleoptera	Cerambycidae	Fusarium solani, when consumed, promotes the growth (higher weight and head capsule width) of Anoplophora glabripennis larvae and elevates gut lignocellulose activities.	10.1007/s00248-023-02332-5		MICROBIAL ECOLOGY	2
d__Bacteria; p__Bacteroidota; c__*; o__Flavobacteriales; f__*; g__Blattabacterium; s__*	Supella longipalpa	other	Bacteroidota	Flavobacteriales	Blattabacterium	Blattodea	Ectobiidae	Blattabacterium endosymbionts directly or indirectly influence the composition of other bacterial populations by reducing microbial diversity within the host, Supella longipalpa.	10.7717/peerj.17095		PEERJ	2
d__Bacteria; p__Pseudomonadota; c__*; o__*; f__*; g__Candidatus Tremblaya; s__*	Phenacoccus solenopsis	fertility	Pseudomonadota		Candidatus Tremblaya	Hemiptera	Pseudococcidae	Tremblaya phenacola PSOL contributes to high fecundity (reproduction) in Phenacoccus solenopsis by regulating the mechanistic target of rapamycin (mTOR) pathway.	10.1093/ismejo/wrae052		The ISME Journal	3
d__Bacteria; p__Pseudomonadota; c__*; o__*; f__*; g__Candidatus Tremblaya; s__*	Phenacoccus solenopsis	immune priming	Pseudomonadota		Candidatus Tremblaya	Hemiptera	Pseudococcidae	Tremblaya phenacola PSOL contributes to high fecundity (reproduction) in Phenacoccus solenopsis by regulating the mechanistic target of rapamycin (mTOR) pathway.	10.1093/ismejo/wrae052		The ISME Journal	3
d__Bacteria; p__Bacillota; c__*; o__Lactobacillales; f__*; g__Enterococcus; s__Enterococcus casseliflavus	Clanis bilineata tsingtauica	amino acid provision	Bacillota	Lactobacillales	Enterococcus	Lepidoptera	Sphingidae	Enterococcus casseliflavus regulates amino acid metabolism in the host Clanis bilineata tsingtauica.	10.3389/fmicb.2024.1343265		FRONTIERS IN MICROBIOLOGY	2
d__Fungi; p__Ascomycota; c__*; o__Ophiostomatales; f__*; g__Grosmannia; s__Grosmannia clavigera	Dendroctonus ponderosae	developmental modulation	Ascomycota	Ophiostomatales	Grosmannia	Coleoptera	Curculionidae	Grosmannia clavigera's pathogenicity is likely more important in aiding the mountain pine beetle's (Dendroctonus ponderosae) colonization and development within the host tree.	10.1094/MPMI-06-23-0077-R		MOLECULAR PLANT-MICROBE INTERACTIONS	2
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Listrus sp.	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0462	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Listrus sp.	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0463	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Listrus sp.	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0464	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Danacea nigritarsis GER	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0465	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Danacea nigritarsis ITA	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0466	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Psilothrix viridicoerulea	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0467	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Listrus sp.	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0468	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Listrus sp.	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0469	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Listrus sp.	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0470	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Listrus sp.	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0471	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Dasytes virens	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0472	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Dasytes seminudus	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0473	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Dasytes plumbeus	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0474	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Dasytes lineellus	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0475	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Dasytes alpigradus	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0476	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	Dasytes aeratus	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Coleoptera	Melyridae	Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	GISB0477	The ISME Journal	5
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Dasytiphilus; s__*	soft-winged flower beetles	amino acid provision	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus			Candidatus Dasytiphilus stammeri contributes to its host (Listrus sp.) by provisioning tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080		The ISME Journal	3
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Stammera; s__*	Chelymorpha alternans	fertility	Pseudomonadota	Enterobacterales	Candidatus Stammera	Coleoptera	Chrysomelidae	Candidatus Stammera is metabolically decoupled in adult beetles to match the nutritional and reproductive requirements of its host, Chelymorpha alternans.	10.1093/ismeco/ycae005		ISME COMMUNICATIONS	2
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Stammera; s__*	Chelymorpha alternans	growth regulation	Pseudomonadota	Enterobacterales	Candidatus Stammera	Coleoptera	Chrysomelidae	Candidatus Stammera is metabolically decoupled in adult beetles to match the nutritional and reproductive requirements of its host, Chelymorpha alternans.	10.1093/ismeco/ycae005		ISME COMMUNICATIONS	2
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Mammaliicoccus; s__Mammaliicoccus sciuri	Bombyx mori	antimicrobial activity	Bacillota	Bacillales	Mammaliicoccus	Lepidoptera	Bombycidae	Mammaliicoccus sciuri produces the secreted chitinolytic lysozyme Msp1, which damages fungal cell walls and completely inhibits the spore germination of the fungal entomopathogens Metarhizium robertsii and Beauveria bassiana.	10.1186/s40168-024-01764-6		MICROBIOME	3
d__Bacteria; p__Bacillota; c__*; o__Bacillales; f__*; g__Mammaliicoccus; s__Mammaliicoccus sciuri	Bombyx mori	fungal farming	Bacillota	Bacillales	Mammaliicoccus	Lepidoptera	Bombycidae	Mammaliicoccus sciuri produces the secreted chitinolytic lysozyme Msp1, which damages fungal cell walls and completely inhibits the spore germination of the fungal entomopathogens Metarhizium robertsii and Beauveria bassiana.	10.1186/s40168-024-01764-6		MICROBIOME	3
d__Bacteria; p__Pseudomonadota; c__*; o__Burkholderiales; f__*; g__Delftia; s__*	Osmia cornifrons	pathogen resistance	Pseudomonadota	Burkholderiales	Delftia	Hymenoptera	Megachilidae	Delftia exhibits antibiotic activity, suggesting a potential protective role against pathogens for the host, Osmia cornifrons.	10.1038/s41598-024-53935-y		SCIENTIFIC REPORTS	2
d__Bacteria; p__Actinomycetota; c__*; o__Micrococcales; f__*; g__Microbacterium; s__*	Osmia cornifrons	pesticide metabolization	Actinomycetota	Micrococcales	Microbacterium	Hymenoptera	Megachilidae	In host larvae, Microbacterium could contribute to the balance and resiliency of the gut microbiome under stress conditions. In addition, Rhodococcus was found in host larvae and is known for its detoxification capabilities	10.1038/s41598-024-53935-y		SCIENTIFIC REPORTS	2
d__Bacteria; p__Pseudomonadota; c__*; o__Pseudomonadales; f__*; g__Pseudomonas; s__*	Osmia cornifrons	toxin production	Pseudomonadota	Pseudomonadales	Pseudomonas	Hymenoptera	Megachilidae	Pseudomonas is known to contribute to defensive toxin synthesis in Paederus fuscipes and promotes arginine metabolism under in vitro conditions.	10.1038/s41598-024-53935-y		SCIENTIFIC REPORTS	2
d__Bacteria; p__Pseudomonadota; c__*; o__Enterobacterales; f__*; g__Candidatus Aschnera; s__*	Penicillidia jenynsii	B vitamin supplementation	Pseudomonadota	Enterobacterales	Candidatus Aschnera	Diptera	Nycteribiidae	Candidatus Aschnera chinzeii provides essential B vitamins and cofactors to its blood-sucking host, Penicillidia jenynsii, including biotin (B7), tetrahydrofolate (B9), riboflavin (B2), and pyridoxal 5'-phosphate (B6).	10.3389/fmicb.2023.1336919		Frontiers in Microbiology	2
d__Bacteria; p__Pseudomonadota; c__*; o__Pseudomonadales; f__*; g__Pseudomonas; s__Pseudomonas fulva	Bombyx mori	detoxification enzymes	Pseudomonadota	Pseudomonadales	Pseudomonas	Lepidoptera	Bombycidae	Pseudomonas fulva ZJU1 can degrade and utilize the mulberry-derived secondary metabolite, 1-deoxynojirimycin (DNJ) as the sole energy source, and after inoculation into nonspecialists, P. fulva ZJU1 increased host resistance to DNJ and significantly promoted growth	10.1073/pnas.2412165121	GISB0430	Proceedings of the National Academy of Sciences	5
d__Bacteria; p__Pseudomonadota; c__*; o__Pseudomonadales; f__*; g__Pseudomonas; s__Pseudomonas fulva	Bombyx mori	nutrient provision	Pseudomonadota	Pseudomonadales	Pseudomonas	Lepidoptera	Bombycidae	Pseudomonas fulva ZJU1 can degrade and utilize the mulberry-derived secondary metabolite, 1-deoxynojirimycin (DNJ) as the sole energy source, and after inoculation into nonspecialists, P. fulva ZJU1 increased host resistance to DNJ and significantly promoted growth	10.1073/pnas.2412165121	GISB0430	Proceedings of the National Academy of Sciences	5
