ID	Record Type	Order	Family	Subfamily	Insect Species	Symbiont Phylum	Symbiont Order	Symbiont Genus	Symbiont Rank	Symbiont Taxon	Symbiont Name	Classification	Localization	Transmission mode	Function	Function Tag	Related Data	Genome ID	Reference	doi	Journal	Year	Note	Country	Collect Location
RISB0017	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter calcoaceticus strain NRYSBAC-1	Bacteria	Extracellular	None	Acinetobacter calcoaceticus strain NRYSBAC-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON515472	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0018	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp. strain NRYSBBS-1	Bacteria	Extracellular	None	Bacillus sp. strain NRYSBBS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	OR186508	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0019	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus cereus strain NRYSBBC-1	Bacteria	Extracellular	None	Bacillus cereus strain NRYSBBC-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON515473	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0020	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp. strain NRYSBBP-1	Bacteria	Extracellular	None	Bacillus sp. strain NRYSBBP-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON515471	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0021	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp. strain NRSSBBS-1	Bacteria	Extracellular	None	Bacillus sp. strain NRSSBBS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON520737	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0022	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus proteolyticus strain NRSSBBP-1	Bacteria	Extracellular	None	Bacillus proteolyticus strain NRSSBBP-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON520738	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0023	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus stratosphericus strain NRSSBBS-1	Bacteria	Extracellular	None	Bacillus stratosphericus strain NRSSBBS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON520739	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0024	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus subtilis strain NRSSBSUB-1	Bacteria	Extracellular	None	Bacillus subtilis strain NRSSBSUB-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON520739	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0025	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus albus strain NRSSBBA-1	Bacteria	Extracellular	None	Bacillus albus strain NRSSBBA-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON520740	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0026	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus faecalis strain NRPSBEF-1	Bacteria	Extracellular	None	Enterococcus faecalis strain NRPSBEF-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON515475	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0027	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella sp. strain NRYSBKS-1	Bacteria	Extracellular	None	Klebsiella sp. strain NRYSBKS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON520695	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0028	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Peptostreptococcales	Paraclostridium	Genus	Paraclostridium	Paraclostridium sp. strain NRPSBPS-1	Bacteria	Extracellular	None	Paraclostridium sp. strain NRPSBPS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON520779	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0029	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Bacillales	Staphylococcus	Genus	Staphylococcus	Staphylococcus sp. strain NRPSBSS-1	Bacteria	Extracellular	None	Staphylococcus sp. strain NRPSBSS-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON520735	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0030	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Bacillales	Staphylococcus	Genus	Staphylococcus	Staphylococcus pavanii strain NRPSBSP-1	Bacteria	Extracellular	None	Staphylococcus pavanii strain NRPSBSP-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON520736	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0031	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas sp. strain NRPSBSP-1	Bacteria	Extracellular	None	Stenotrophomonas sp. strain NRPSBSP-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON515474	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0032	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas sp. strain NRPSBSM-1	Bacteria	Extracellular	None	Stenotrophomonas sp. strain NRPSBSM-1 can degrade Chlorpyrifos and Chlorantraniliprole in vitro.	pesticide metabolization	ON515476	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None	India	ICAR - National Rice Research Institute (NRRI) Cuttack, Odisha
RISB0033	Symbiont	Hemiptera	Cimicidae	None	Cimex lectularius	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia wCle	Bacteria	Intracellular	Vertical	Wolbachia wCle provides the nutritional obligatory service of supplying B vitamins to its host, Cimex lectularius.	B vitamin supplementation	None	None	Development, feeding, and sex shape the relative quantity of the nutritional obligatory symbiont Wolbachia in bed bugs	10.3389/fmicb.2024.1386458	FRONTIERS IN MICROBIOLOGY	2024	None	England	London
RISB0034	Symbiont	Coleoptera	Attelabidae	Attelabinae	Euops chinensis	Ascomycota	Eurotiales	Penicillium	Genus	Penicillium	Penicillium herquei	Fungi	Extracellular	None	Penicillium herquei has the potential to synthesize or concentrate ergosterol, amino acids, and B vitamins, thereby benefiting the larvae of its host, Euops chinensis.	other	None	None	Dietary potential of the symbiotic fungus Penicillium herquei for the larvae of a nonsocial fungus-cultivating weevil Euops chinensis	10.1128/aem.01537-23	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2024	None	China	Jiangxi Province (N27046′16.33, E114023′38.30)
RISB0035	Symbiont	Coleoptera	Curculionidae	Scolytinae	Anisandrus maiche	Ascomycota	Microascales	Ambrosiella	Genus	Ambrosiella	Ambrosiella cleistominuta	Fungi	Extracellular	None	None	None	None	None	Distribution of the invasive ambrosia beetle Anisandrus maiche (Coleoptera, Scolytinae) in Switzerland and first record in Europe of its ambrosia fungus Ambrosiella cleistominuta	10.3897/alpento.8.117537	ALPINE ENTOMOLOGY	2024	None	Switzerland	southern part of the country in the can-tons Ticino (40  sites)  and Grisons  (one site,  Roveredo)
RISB0036	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	Vertical	None	None	None	None	Diversity of Wolbachia infections in Sri Lankan mosquitoes with a new record of Wolbachia Supergroup B infecting Aedes aegypti vector populations	10.1038/s41598-024-62476-3	SCIENTIFIC REPORTS	2024	None	Sri Lanka	Ampara (7.2917°N, 81.6726°E), Anuradhapura (8.5599°N, 80.4887°E), Badulla (6.9924°N, 81.0550°E), Colombo (6.9271°N, 79.8612°E), Galle (6.0320°N, 80.2170°E), Gampaha (6.999°N, 79.8916°E), Hambanthota (6.1237°N, 81.1034°E), Jaffna (9.6615°N, 80.0255°E), Kagalle (7.2518°N, 80.3466°E), Kandy (7.2906°N, 80.6337°E), Killinochchi (9.39487N, 80.40894E), Kurunegala (7.4840°N, 80.3666°E), Mannar (8.9769°N, 79.9022°E), Matara (5.9493°N, 80.5353°E), Nuwara Eliya (6.9785°N, 80.7133°E) and Tricomalee (8.5921°N, 81.1968°E), Vavuniya (8.7514°N, 80.4987°E)
RISB0037	Amplicon	Hemiptera	Aphrophoridae	None	Philanus spumarius	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	The gut bacteria (as revealed by Amplicon data) includes strains capable of cellulose degradation (hydrolysis), suggesting a cellulose hydrolysis role.	cellulose hydrolysis	OM243853-OM243910	None	Diversity, Composition, and Specificity of the Philaenus spumarius Bacteriome	10.3390/microorganisms12020298	MICROORGANISMS	2024	None	Portugal	Caracoi （41º18’46.1’’N 8º38’10.4’’W），Cabeceiras de Basto （41º29’56.6’’N 8º00’24.2’’W），Bragança （41º48’33’’N 6º32’48’’W），Pinelo （41º38’38’’N 6º32’48’’W）
RISB0038	Symbiont	Diptera	Culicidae	Anophelinae	Anopheles arabiensis	Microsporidia	None	None	Genus	Microsporidia	Microsporidia sp. MB	Fungi	Extracellular	Horizontal	Microsporidia sp. MB is a microsporidian symbiont that confers malaria-blocking ability to its host, Anopheles arabiensis.	pathogen resistance	GCA_032191455.1	GISB0461	Draft genome of Microsporidia sp. MB—a malaria-blocking microsporidian symbiont of the Anopheles arabiensis	10.1128/MRA.00903-23	Microbiology Resource Announcements	2024	None	Western Kenya	Ahero (34.9190°W, −0.1661°N)
RISB0039	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Bacillota	Lactobacillales	Lactobacillus	Genus	Lactobacillus	Lactobacillus	Bacteria	None	None	None	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None	China	Nanyang
RISB0040	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Pseudomonadota	Enterobacterales	Morganella	Genus	Morganella	Morganella	Bacteria	None	None	None	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None	China	Nanyang
RISB0041	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Pseudomonadota	Enterobacterales	Providencia	Genus	Providencia	Providencia	Bacteria	None	None	None	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None	China	Nanyang
RISB0042	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Bacillota	Lactobacillales	Vagococcus	Genus	Vagococcus	Vagococcus	Bacteria	None	None	None	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None	China	Nanyang
RISB0043	Symbiont	Coleoptera	Cerambycidae	Lamiinae	Anoplophora glabripennis	Ascomycota	Hypocreales	Fusarium	Genus	Fusarium	Fusarium solani	Fungi	Extracellular	None	Fusarium solani, when consumed, promotes the growth (higher weight and head capsule width) of Anoplophora glabripennis larvae and elevates gut lignocellulose activities.	growth regulation,cellulose hydrolysis	None	None	Effects of Fusarium solani on the Growth and Development of Anoplophora glabripennis Larvae	10.1007/s00248-023-02332-5	MICROBIAL ECOLOGY	2024	None	China	Biocontrol Engineering Laboratory of Crop Diseases and Pests in Gansu Province
RISB0044	Symbiont	Blattodea	Ectobiidae	Plectopterinae	Supella longipalpa	Bacteroidota	Flavobacteriales	Blattabacterium	Genus	Blattabacterium	Blattabacterium	Bacteria	Intracellular	None	Blattabacterium endosymbionts directly or indirectly influence the composition of other bacterial populations by reducing microbial diversity within the host, Supella longipalpa.	other	None	None	Endosymbiont and gut bacterial communities of the brown-banded cockroach, Supella longipalpa	10.7717/peerj.17095	PEERJ	2024	None	USA	University of South Dakota insectary facility
RISB0045	Symbiont	Hemiptera	Pseudococcidae	None	Phenacoccus solenopsis	Pseudomonadota	None	Candidatus Tremblaya	Genus	Tremblaya	Tremblaya phenacola	Bacteria	Intracellular	None	Tremblaya phenacola PSOL contributes to high fecundity (reproduction) in Phenacoccus solenopsis by regulating the mechanistic target of rapamycin (mTOR) pathway.	fertility,immune priming	PRJNA550279	None	Endosymbiont Tremblaya phenacola influences the reproduction of cotton mealybugs by regulating the mechanistic target of rapamycin pathway	10.1093/ismejo/wrae052	The ISME Journal	2024	None	China	ornamental plant Rose of Sharon (Hibiscus syriacus L.) in Jinhua
RISB0046	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Ascomycota	Hypocreales	Hirsutella	Genus	Hirsutella	Hirsutella proturicola	Fungi	None	None	None	None	None	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None	China	Genetics Institute of Wuhan University
RISB0047	Amplicon	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	None	None	None	None	None	fungal community	Fungi	None	None	None	None	SRR26315497-SRR26315600	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None	China	Genetics Institute of Wuhan University
RISB0048	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Ascomycota	Hypocreales	Ophiocordyceps	Genus	Ophiocordyceps	Ophiocordyceps heteropoda	Fungi	None	None	None	None	None	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None	China	Genetics Institute of Wuhan University
